2025-11-02 01:06:06.145 | INFO     | __main__:run:51 - ============================================================
2025-11-02 01:06:06.146 | INFO     | __main__:run:52 - 🚀 CRYPTO ARBITRAGE MONITOR
2025-11-02 01:06:06.146 | INFO     | __main__:run:53 - ============================================================
2025-11-02 01:06:06.146 | INFO     | __main__:run:56 - 🧠 Loading ML models...
2025-11-02 01:06:06.152 | WARNING  | ml_predictor:load:254 - Loading model from legacy object format. Consider retraining for consistency.
2025-11-02 01:06:06.152 | SUCCESS  | ml_predictor:load:262 - Spread predictor loaded from models/spread_predictor_live.pkl
2025-11-02 01:06:06.168 | WARNING  | ml_predictor:load:363 - Loading scorer from legacy object format. Consider retraining for consistency.
2025-11-02 01:06:06.168 | SUCCESS  | ml_predictor:load:369 - Opportunity scorer loaded from models/opportunity_scorer_live.pkl
2025-11-02 01:06:06.168 | INFO     | __main__:run:63 - Monitoring exchanges: Coinbase, Binance, Bitstamp
2025-11-02 01:06:06.168 | INFO     | __main__:run:64 - Trading pairs: BTC-USD, ETH-USD, SOL-USD
2025-11-02 01:06:06.169 | INFO     | __main__:run:65 - ============================================================
2025-11-02 01:06:06.169 | INFO     | __main__:run:66 - ✅ System ready. Dashboard running at: http://localhost:8050
2025-11-02 01:06:06.259 | INFO     | dashboard:run:462 - Starting dashboard on http://0.0.0.0:8050
2025-11-02 01:06:08.170 | INFO     | __main__:run_data_collection:35 - Starting data collection and arbitrage detection...
2025-11-02 01:06:08.171 | INFO     | data_ingestion:start:224 - Starting multi-exchange aggregator...
2025-11-02 01:06:08.401 | INFO     | data_ingestion:connect:25 - Connected to Bitstamp
2025-11-02 01:06:08.401 | INFO     | data_ingestion:subscribe:177 - Subscribed to Bitstamp symbols: ['btcusd', 'ethusd', 'solusd']
2025-11-02 01:06:08.714 | INFO     | data_ingestion:connect:25 - Connected to Coinbase
