2025-11-02 00:52:35.566 | INFO     | __main__:run:51 - ============================================================
2025-11-02 00:52:35.567 | INFO     | __main__:run:52 - 🚀 CRYPTO ARBITRAGE MONITOR
2025-11-02 00:52:35.567 | INFO     | __main__:run:53 - ============================================================
2025-11-02 00:52:35.567 | INFO     | __main__:run:56 - 🧠 Loading ML models...
2025-11-02 00:52:35.571 | WARNING  | ml_predictor:load:257 - Loading model from legacy object format. Consider retraining for consistency.
2025-11-02 00:52:35.571 | SUCCESS  | ml_predictor:load:265 - Spread predictor loaded from models/spread_predictor_live.pkl
2025-11-02 00:52:35.587 | WARNING  | ml_predictor:load:366 - Loading scorer from legacy object format. Consider retraining for consistency.
2025-11-02 00:52:35.587 | SUCCESS  | ml_predictor:load:372 - Opportunity scorer loaded from models/opportunity_scorer_live.pkl
2025-11-02 00:52:35.587 | INFO     | __main__:run:63 - Monitoring exchanges: Coinbase, Binance, Bitstamp
2025-11-02 00:52:35.587 | INFO     | __main__:run:64 - Trading pairs: BTC-USD, ETH-USD, SOL-USD
2025-11-02 00:52:35.587 | INFO     | __main__:run:65 - ============================================================
2025-11-02 00:52:35.588 | INFO     | __main__:run:66 - ✅ System ready. Dashboard running at: http://localhost:8050
2025-11-02 00:52:37.591 | INFO     | __main__:run_data_collection:35 - Starting data collection and arbitrage detection...
2025-11-02 00:52:37.592 | INFO     | data_ingestion:start:224 - Starting multi-exchange aggregator...
2025-11-02 00:52:37.821 | INFO     | data_ingestion:connect:25 - Connected to Bitstamp
2025-11-02 00:52:37.822 | INFO     | data_ingestion:subscribe:177 - Subscribed to Bitstamp symbols: ['btcusd', 'ethusd', 'solusd']
2025-11-02 00:52:38.081 | INFO     | data_ingestion:connect:25 - Connected to Coinbase
2025-11-02 00:52:38.081 | INFO     | data_ingestion:subscribe:95 - Subscribed to Coinbase symbols: ['BTC-USD', 'ETH-USD', 'SOL-USD']
2025-11-02 00:52:38.494 | INFO     | data_ingestion:connect:131 - Connected to Binance
2025-11-02 00:52:38.988 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Coinbase @ $109913.93, Sell on Binance @ $109878.57 | Profit: -0.73%
2025-11-02 00:52:38.989 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Binance @ $110118.39, Sell on Coinbase @ $109913.92 | Profit: -0.89%
2025-11-02 00:52:39.066 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Coinbase @ $3864.68, Sell on Binance @ $3867.40 | Profit: -0.63%
2025-11-02 00:52:39.067 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy ETH-USD on Binance @ $3869.24, Sell on Coinbase @ $3864.67 | Profit: -0.82%
2025-11-02 00:52:39.118 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Coinbase @ $109913.93, Sell on Binance @ $109878.57 | Profit: -0.73%
2025-11-02 00:52:39.118 | SUCCESS  | arbitrage_detector:_analyze_pair:125 - ARBITRAGE FOUND: Buy BTC-USD on Binance @ $110118.39, Sell on Coinbase @ $109913.92 | Profit: -0.89%
