exchange,symbol,price,timestamp,bid,ask,volume
Binance,BTC-USD,110164.82,2025-11-01 22:05:36.962000+00:00,109858.04,110163.85,2.49779
Coinbase,BTC-USD,109890.42,2025-11-01 22:05:37.180690+00:00,109890.42,109890.43,1679.92732504
Coinbase,BTC-USD,109890.42,2025-11-01 22:05:37.907819+00:00,109890.42,109890.43,1679.93191168
Coinbase,BTC-USD,109890.42,2025-11-01 22:05:37.907819+00:00,109890.42,109890.43,1679.95050775
Binance,BTC-USD,110164.82,2025-11-01 22:05:37.862000+00:00,109858.04,110163.83,2.49779
Coinbase,BTC-USD,109890.43,2025-11-01 22:05:38.737431+00:00,109890.42,109890.43,1679.950747
Coinbase,BTC-USD,109890.43,2025-11-01 22:05:38.737431+00:00,109890.42,109891.28,1679.95076412
Coinbase,BTC-USD,109891.28,2025-11-01 22:05:38.737431+00:00,109890.42,109891.71,1679.95236354
Coinbase,BTC-USD,109891.71,2025-11-01 22:05:38.737431+00:00,109890.42,109891.71,1679.95439209
Coinbase,BTC-USD,109892.16,2025-11-01 22:05:38.812791+00:00,109892.15,109892.89,1679.95440309
Coinbase,BTC-USD,109892.89,2025-11-01 22:05:38.812791+00:00,109892.15,109892.89,1679.95465102
Binance,BTC-USD,110164.82,2025-11-01 22:05:38.963000+00:00,109858.04,110163.79,2.49779
Binance,BTC-USD,110164.82,2025-11-01 22:05:40.065000+00:00,109858.04,110163.7,2.49779
Bitstamp,BTC-USD,109885.0,2025-11-01 22:05:40+00:00,0.0,0.0,0.00047
Binance,BTC-USD,110164.82,2025-11-01 22:05:40.865000+00:00,109858.04,110163.66,2.49779
Binance,BTC-USD,110164.82,2025-11-01 22:05:41.964000+00:00,109858.04,110163.58,2.49779
Coinbase,BTC-USD,109892.88,2025-11-01 22:05:42.717511+00:00,109892.88,109892.89,1679.95503649
Binance,BTC-USD,110164.82,2025-11-01 22:05:43.092000+00:00,109858.04,110163.5,2.49779
Coinbase,BTC-USD,109892.89,2025-11-01 22:05:43.794923+00:00,109892.88,109892.89,1679.95569815
Coinbase,BTC-USD,109892.89,2025-11-01 22:05:43.794923+00:00,109892.88,109892.89,1679.95570671
Coinbase,BTC-USD,109892.89,2025-11-01 22:05:43.794923+00:00,109892.88,109892.89,1679.95701079
Binance,BTC-USD,110164.82,2025-11-01 22:05:43.866000+00:00,109858.04,110163.44,2.49779
Bitstamp,BTC-USD,109885.0,2025-11-01 22:05:44+00:00,0.0,0.0,5.31e-06
Coinbase,BTC-USD,109892.88,2025-11-01 22:05:44.654685+00:00,109892.88,109892.89,1679.95747015
Binance,BTC-USD,110164.82,2025-11-01 22:05:44.967000+00:00,109858.04,110163.42,2.49779
Coinbase,BTC-USD,109892.89,2025-11-01 22:05:45.160305+00:00,109892.88,109892.89,1679.95923878
